topic,cognitive,Topic name,Top words
1,T,stress,stress awareness experience conscious cortisol fatigue induced consciousness experiences exposure aware interoceptive body sense subjective responses correlates acute nf feeling unaware ownership responders hypnotic conditions bodily perceived psychological stressful regulation axis experienced hpa perception stressor reactivity bias mental humans synesthesia pupil mw monitoring synesthetic trauma reports dilation interoception cfs exercise grapheme hypnosis heart induction chronic colour condition feelings stressed environment physiological synesthetes life autonomic salivary synaesthesia agency appraisal induce vegetative phenomenon mediated controls sedation blue physical anesthesia stressors subjectively alien feedback els nm anesthetic loss circuits exposed rate homeostasis psychosocial adrenal movie suggestion consciously contingencies aversive endocrine neuroendocrine ia 
2,T,gaze,eye gaze movements eyes visual saccades saccade target fixation direction tracking guided movement pursuit saccadic closed oculomotor ec control rem visually antisaccade targets motor direct blink ocular directional human blinking peripheral smooth averted position reflexive attention location spem humans eo antisaccades volitional retinal directed rapid voluntary contact execution reaching velocity role arrow moving generation pro automatic blinks prosaccade anti darkness locations tuned reach visuomotor okn prosaccades remembered extraretinal visuospatial presentation step goal shifts cue directions responsible spontaneous motion center visible predominantly latency delayed opposite impact rems odr intentional absence somatosensory latencies triggered active attentional monkeys fixations command prolonged optic 
4,T,decision-making,decision choice risk decisions choices uncertainty outcomes risky taking outcome rewards behavior preference preferences probability losses behavioral subjective values reward loss ambiguous valuation selection discounting options individual bias economic gains choose aversion option process delayed ambiguity relative potential certainty intertemporal uncertain probabilities trial evaluation degree gambling money financial trials regret alternatives hypothetical impulsivity igt magnitude seeking effort utility chosen people delay forced monetary situations influence threshold predicted impulsive equal amount confidence alternative involving computational reflected cost sensitive evidence context accumulation chose criterion positively future probabilistic gain term risks choosing guide success guessing behaviorally game behaviors tracked wins influenced experience 
5,T,reasoning,reasoning rule rules intelligence complexity cognitive relational abstract fluid relations sa hierarchical analogical sorting abstraction integration ct network gf tasks wcst ability conditional card deductive analogy abilities required inference concrete cv logical wisconsin systemizing ls matching mapping solving ti sets behavior relationships visuo shift shifting crt dependency lower terms eq sq score organized ei mental content fluiq empathizing gifted rostrolateral inductive polar induction geometric arguments adjacent cognition completion ideation dz rspm autistics dependencies involves syllogistic exchange matrices deduction sequencing structure raven governed fr involving knowledge rostro brands syllogisms iq visuospatial life local type stages correlates falsification rwmv subtask premises 
6,T,sensory,visual auditory sensory modality integration audiovisual blind modalities primary modal multisensory input tactile stimulation sighted responses crossmodal multimodal unimodal vision inputs haptic perceptual bimodal somatosensory stream perception synchrony enhanced interactions visuo audio congruent stimulus incongruent matching human synchronous discrimination humans supramodal av blindness sounds environment visually presentation pathway braille congenitally sound individuals psts integrated plasticity senses touch experience calcarine percept binding basic amblyopia sensitivity dependent degraded asynchronous integrate behavioral onset nonvisual simultaneous concurrent convergence matched strength design suppression unisensory affect irrespective profile eb reorganization modulated reliable congruency vibrotactile heteromodal streams similarly nature intensity audition congruence simultaneously localization hemifield lead 
7,T,spatial processing,spatial location mental space virtual rotation navigation orientation object body visuospatial locations visual route position representation representations egocentric objects allocentric perspective coding transformation environment visuo line frame judgments relative coordinate frames imagined cues positions coordinates map transformations reality angle test landmark symmetry environments contextual distance relations neglect person ability navigational nonspatial length path survey bisection world drawing ior hidden required visible landmarks spatially layout scene gravity lines result degrees environmental rigid localization learned rotations judgements hands updating schema clock routes centred arm moving rely appeared overlapping navigate bound vr rotated viewpoint centrally horizontal dynamic role mazes angles topographical judged 
9,T,repetition priming,repetition priming hearing repeated suppression deaf tinnitus masked prime effect target sign signs signers habituation primed repetitions stimulus automatic subliminal presentation reductions perceptual ci loss adaptation primes rs nss unconscious reduced backward conscious lag facilitation awareness cp deafness masking enhancement signed implicit exposure attenuation behavioral experience perception multiple presentations nh consciously preceded faster initial soft cochlear paradigm repeating repeatedly identical form neurological subsequent rapid correlates bsl implantation pw probe facilitated plasticity spaced hl deprivation exhibited normal mirror strategic leads cd influenced times image onset supraliminal manipulated text immediately attended nonconscious american modulated picture signing massed nonword speechreading mid lists 
10,T,vision-shape,visual category adaptation color features discrimination identity selective shape categorization feature stimulus perception shapes categories object perceptual categorical representations representation objects responses texture change dimension location properties matching identical identification sensitive selectivity human pairs abstract form individual sensitivity similarity physical adapted match colors recognition judgments represented content evidence perceived discriminating viewed separate pathway dot observers orientation process internal expression facial experiment responsive respond coding exemplars categorized tuning magnitude behavioral dimensions matched basis test categorize perceptually discriminate specialization animal distinct half dots kinds specialized multiple knowledge stored pair constant observer binding achromatic discriminated blocks pathways coded conjunctions invariant responded geometrical 
11,T,episodic memory,memory events imagery autobiographical retrieval episodic memories future mental semantic past event personal images experiences thinking remote prospective recall construction network life art amnesia knowledge remembering counterfactual engaged imagining imagination time imagined experience ams scene generation cues content details world experienced elaboration recollection scenes environmental common vividness script search pls engage simulations people experiencing generated ability amnesic vivid simulation identification image artistic subjective mentally subsystem personally anterograde process supporting factual retrograde imagine trace retrieved portraits intention recalled episodes mind hippocampi vc periods declarative richness scenarios generate retrieving nature eam hypothetical polar constructive construct fictitious partial famous contextual preferentially ayahuasca 
12,T,object recognition,object objects visual recognition familiar unfamiliar scenes stream images scene familiarity tools viewing famous selective grasp people representations size grasping features responses image perception viewed naming knowledge drawing matching experience manipulation drawings view natural animals relative names substrates personally identification photographs person views recognize experiment grip requires manipulable scrambled category repeated learned pictures intact viewpoint shape material perceptual properties responsive categories preference orientation visually presentation performed colour graspable identity recognizing unusual novelty unknown pathway prism prosopagnosia meaningful trials line specialized scanning selectivity interact streams reveal newly irrespective recognized exemplar adaptation fg grasped named invariance ps form session rsc reach 
